Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-12-10,3470.16,3507.93,3466.71,3466.71,16050461
2015-12-11,3480.9,3497.19,3415.82,3420.68,10608144
2015-12-14,3409.71,3414.36,3350.45,3360.18,10788524
2015-12-15,3359.2,3397.86,3354.08,3397.86,11451131
2015-12-16,3412.53,3431.49,3412.25,3416.81,12605579
2015-12-17,3438.77,3483.38,3438.77,3467.28,7787045
2015-12-18,3481.14,3484.79,3430.69,3477.41,8144831
2015-12-21,3475.09,3528.72,3475.09,3528.72,4959480
2015-12-22,3533.03,3543.3,3507.46,3535.48,5226856
2015-12-23,3532.43,3545.95,3527.16,3540.92,6560737
2015-12-28,3546.76,3553.13,3530.16,3553.13,10539546
2015-12-29,3554.27,3598.73,3551,3598.73,9459247
2015-12-30,3609.86,3609.86,3567.05,3567.05,13195614
2016-01-04,3542.48,3542.48,3511.64,3512.57,4365786
2016-01-05,3509.53,3540.47,3509.53,3531.23,3762556
2016-01-07,3487.08,3487.08,3462.09,3475.79,4375055
2016-01-08,3483.66,3488.84,3435.7,3438.13,6525202
2016-01-11,3445.26,3445.26,3384.13,3387.32,9033568
2016-01-12,3388.17,3457.59,3386.89,3457.59,9715236
2016-01-13,3475.27,3511.24,3475.27,3501.04,14782588
2016-01-14,3489.51,3495.8,3440.87,3455.83,13747118
2016-01-15,3466.42,3466.42,3399.53,3399.53,8893031
2016-01-18,3346.65,3375.12,3315.49,3315.49,10836818
2016-01-19,3338.86,3360.8,3327.59,3327.59,8275009
2016-01-20,3319.99,3319.99,3261.04,3262.45,8969674
2016-01-21,3262.23,3275.34,3221.93,3226.58,5418340
2016-01-22,3251.73,3279.94,3251.73,3262.21,6955641
2016-01-25,3284.97,3312.21,3281.43,3298.57,6570905
2016-01-26,3275.64,3297.47,3263.36,3295.4,6924277
2016-01-27,3298.09,3319.43,3296.09,3319.43,4822982
2016-01-28,3312.13,3359.75,3311.75,3350.58,4345372
2016-01-29,3358.95,3373.43,3350.9,3373.43,7801853
2016-02-01,3369.95,3392.32,3365.3,3389.92,4409241
2016-02-02,3386.98,3392.67,3378.27,3384.86,5075928
2016-02-03,3377.82,3385.84,3366.78,3372.8,6144981
2016-02-04,3386.79,3417.14,3380.6,3409.39,5626935
2016-02-05,3412.08,3442.67,3409.17,3437.99,9159708
2016-02-08,3435.22,3440.31,3385.74,3386.74,4919497
2016-02-09,3372.86,3374.32,3349.9,3359.02,5366540
2016-02-10,3363.39,3382.46,3337.89,3337.89,5424051
2016-02-11,3342.41,3348.57,3294.84,3313.21,5484754
2016-02-12,3310.25,3338.3,3310.25,3310.61,6627880
2016-02-15,3346.43,3359.11,3334.09,3356.64,3029710
2016-02-16,3365.67,3369.61,3331.78,3350.67,4732380
2016-02-17,3350.28,3447.53,3350.28,3447.53,8575626
2016-02-18,3460.18,3498.63,3447.26,3474.83,4886610
2016-02-19,3474.17,3474.24,3409.3,3413.89,10431735
2016-02-22,3424.8,3464.11,3424.8,3453.9,22000170
2016-02-23,3442.49,3481.41,3440.83,3481.41,8213359
2016-02-24,3478.78,3481.54,3435.29,3444.6,4221137
2016-02-25,3449.92,3472.11,3433.39,3433.39,4883186
2016-02-26,3457.47,3485.74,3452.98,3478.59,8802420
2016-02-29,3460.09,3482.54,3459.29,3469.65,37743639
2016-03-01,3462.21,3466.67,3422.69,3436.12,15246746
2016-03-02,3458.5,3461.07,3428.01,3438.76,5700386
2016-03-03,3449.5,3507.24,3449.06,3507.24,5717088
2016-03-04,3512.15,3526.24,3503.74,3504.6,7893182
2016-03-07,3515.79,3534.56,3515.79,3530.52,7628983
2016-03-08,3535.31,3535.31,3518.49,3533.04,5100401
2016-03-09,3521.52,3526.08,3489.29,3503.6,4818289
2016-03-10,3504.79,3534.97,3504.79,3517.25,4651235
2016-03-11,3537.94,3548.89,3528.8,3545.08,8138204
2016-03-14,3558.49,3571.59,3552,3562.06,5682492
2016-03-15,3558.56,3558.56,3533.12,3545.27,4931640
2016-03-16,3545.07,3548.31,3522.72,3533,3952596
2016-03-17,3541.54,3568.96,3541.27,3563.95,8371786
2016-03-18,3563.44,3598.12,3548.6,3574.55,8665017
2016-03-21,3570.29,3579.08,3564.45,3571.56,7258636
2016-03-22,3576.74,3580.8,3526.6,3548.93,11088414
2016-03-23,3549.45,3561.65,3543,3555.05,9862833
2016-03-24,3562.72,3564.25,3542.36,3560.52,7357109
2016-03-29,3561.37,3576.15,3558.16,3576.15,10020081
2016-03-30,3590.05,3598.54,3584.94,3598.02,10858346
2016-03-31,3599.56,3612.3,3593.38,3612.3,7202017
2016-04-01,3606.64,3607.55,3564.47,3578.65,4588022
2016-04-04,3585.51,3603.95,3571.62,3603.95,4930021
2016-04-05,3600.84,3601.84,3547.67,3558.15,3875503
2016-04-06,3562.86,3566.71,3489.43,3489.43,4050958
2016-04-07,3506.53,3539.87,3506.53,3525.61,6203296
2016-04-08,3527.98,3552.31,3525.4,3552.31,4259063
2016-04-11,3543.63,3559.26,3538.65,3551.75,5611197
2016-04-12,3570.39,3571.45,3542.5,3547.27,3826320
2016-04-13,3559.37,3596.61,3559.37,3596.61,3859581
